Otus,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,3,3,1,0,1,0,0,1,3,8,21,0,5,30,0,1,0,0,1,0,2,3,0,0
23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,3,1,4,3,16,4,2,0,4,3,2,7,0,7,1,2,9,11,4,0,0,5,4,10,9,2,1
25,1,0,0,0,1,5,0,0,0,0,4,1,0,0,5,1,5,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,1,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,2,0,0,0,5,2,0,0,0,4,1,0,0,0,1,0,3,5,1,4,4,2,0,1,0,0,2,1,1,2,6,0,0,2,0,9,2,5,2,2,2,6,0,2,4,1,6,4,6,1,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,2,1,1,6,1,1,2,3,3,0,1,8,2,3,5,4,5,4,11,11,8,8,7,2,13,7,9,6,4,1,1,0,4,2,3,7,4,7,4,9,3,2,6,2,0,8,9,4,0,1,3,1,1,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,2,0,0,0,2,3,3,3,1,1,2,6,0,0,0,1,1,5,1,2,3,1,1,3,0,0,0,1,0,0,0,0,0,0
32,2,5,3,2,4,0,0,4,2,12,6,6,0,2,1,4,6,21,4,2,7,0,3,1,3,3,11,0,5,0,2,0,0,0,0,3,0,2,5,2,4,2,3,2,1,0,0,1,0,2,1,0,2,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,1,4,2,0
33,1,0,0,0,1,0,0,2,0,0,0,0,0,3,0,1,1,0,0,2,1,2,0,0,0,3,2,0,0,6,0,0,0,0,0,2,0,0,1,1,1,0,2,1,2,2,1,0,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,5,0,0,0,1,1,2,2,3,0,3,0,6,2,0,2,0,1,1,0,0,0,0,0,0,6,0,2,0,1,0,4,0,2,1,4,1,1,3,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,2,0,0,2,2,1,0,0,7,1,3,4,3,2,9,2,2,4,2,3,15,12,48,2,27,2,0,23,10,7,2,8,1,7,5,4,3,6,7,3,1,4,6,13,0,181,8,1,2,6,4,5,1,1,0,0,1,3,11,1,2,0,0,3,0,0,0,0,1,0,0,1,0,2,1,0,3,1,0,1,0,1,2,0,3,0,0,2,0
36,3,1,0,2,3,22,7,2,1,7,20,8,1,2,0,4,28,5,11,1,2,21,16,0,0,3,0,0,0,1,0,1,0,0,0,0,2,0,4,1,2,0,5,3,7,9,1,3,3,14,25,0,0,17,0,2,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0,0,0,1,0,2,0,14,3,1,0,4,7,0,0,7,3,12,0,3,0,6,0,0,2,0,0,0,0,0,0,3,0,0,2,0,1,1,1,2,1,1,0,0,0,0,0,0,1,0,1,0,9,0,0,2,1,0,1,1,8,7,8,14,5,7,7,6,3,7,3,0,2,3,0,5,8,0,17,4,22,15,20,9,27,6,16,12,53,1
39,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,3,1,0,0,0,1,1,2,0,4,0,0,7,1,0,2,1,1,0,1,0,0,1,3,0,1,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,2,0,0,0,0,0
40,20,1,1,4,4,1,2,10,26,2,27,16,28,20,2,2,4,4,58,0,0,3,18,0,5,5,18,0,0,3,0,0,27,11,6,1,3,11,0,2,6,9,5,1,0,3,0,1,4,6,0,0,0,9,0,1,2,0,0,2,15,12,9,23,8,5,23,10,12,19,16,21,55,27,74,111,15,3,23,18,0,4,1,0,3,0,0,3,0,2
41,89,7,2,24,31,35,50,94,41,0,35,9,1,78,0,13,44,10,19,0,4,0,5,0,10,17,0,0,1,30,1,27,67,63,47,57,11,52,30,105,4,0,0,0,2,0,0,50,0,1,1,4,80,43,24,74,162,23,59,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,17,12,4,57,12,10,27,12,50,3,5,10,77,20,9,1,9,2,5,7,8,6,1,13,24,2,11,0,1,1,6,65,26,57,17,0,76,80,3,19,7,1,6,3,0,0,0,35,2,0,2,0,11,15,7,4,28,5,4,15,65,74,82,96,126,113,159,117,110,207,78,162,208,167,174,243,54,55,121,113,168,268,137,82,56,14,57,165,89,83
43,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,1,1,0,2,1,0,2,0,2,1,3,4,1,2,5,2,4,1,1,1,3,0,3,0,0,0,1,1,1,0,1,0,0,1,2,1,0,0,1,0,0,1,4,2,2,2,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,4,0,7,5,2,2,4,2,2,0,0,1,4,0,0,0,0,2,0,0,1,0,0,0,3,1,0
46,0,2,1,0,1,1,4,2,4,1,16,3,1,8,5,2,7,9,14,2,1,11,4,3,3,17,4,11,3,26,1,0,1,12,1,11,1,2,3,10,4,45,13,17,8,7,0,0,5,10,16,40,5,11,2,3,0,3,1,12,0,1,0,0,1,1,0,1,0,0,0,0,0,2,1,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0
47,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,3,1,1,0,1,1,0,0,0,0,2,0,2,0,0,2,0,0,1,1,1,0,0,1,1,4,1,1,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,0,1,0,0,6,1,1,1,2,2,0,18,2,0,0,2,1,0,1,2,6,2,0,2,1,2,1,3,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,3,1,0,0,1,3,2,2,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,4,0,1,0,1,0,1,1,1,3,3,1,0,0,0,0,5,0,0,0,1,2,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,5,5,0,0,5,0,0,0,1,2,5,1,3,0,0,16,0,6,2,10,4,13,4,4,3,16,1,2,9,2,6,9,9,5,9,9,2,6,3,12,0,13,2,7,2,1,2
51,130,46,367,13,90,289,72,101,50,79,39,26,6,3,27,3,5,11,17,12,15,21,31,22,20,7,38,0,36,17,9,0,3,2,5,0,1,3,6,13,1,3,2,55,258,1,9,380,0,0,1,5,72,33,36,33,34,42,167,0,11,43,7,40,8,15,62,4,55,60,40,32,8,10,14,8,49,6,13,14,9,14,3,1,3,3,10,2,11,0
52,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,1,1,0,0,2,3,4,0,0,3,1,2,2,3,0,0,0,1,0,3,0,0,5,0,2,3,0,0,0,1,1,1,2,3,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,1,0,1,0,1,0,2,1,1,0,2,0,1,0,0,0,0,3,2,2,0,1,2,0,4,1,3,0,0,0,0,0,2,0,3,0,0,2,1,2,2,4,0,2,0,1,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,46,179,194,61,189,48,20,23,23,13,6,2,14,1,1,3,2,4,1,4,1,2,3,0,13,2,0,0,3,0,15,3,2,13,0,14,5,0,0,9,2,0,0,1,6,0,1,1,0,3,0,5,1,3,1,0,5,2,0,1,22,22,12,8,8,6,9,3,9,13,14,7,3,10,2,1,33,9,9,8,13,14,33,9,20,3,16,5,34,3
55,0,1,0,0,0,1,1,0,0,1,1,1,1,5,1,1,2,0,1,0,1,3,4,1,1,3,0,1,1,1,0,0,1,2,0,2,0,1,2,0,1,2,4,1,4,0,0,0,1,1,5,0,1,0,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,0,3,1,0,1,0,1,3,2,1,2,2,1,4,4,3,1,5,2,1,5,4,7,3,2,3,4,2,5,8,5,1,0,5,0,1,1,2,1,1,1,1,3,2,4,4,0,0,5,1,5,2,1,3,1,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,2,0,0,0,0,1,1,0,0,0,1,1,0,2,1,0,0,1,1,1,2,3,2,2,0,3,0,1,4,1,0,0,2,1,0,4,1,1,0,0,1,2,3,1,1,4,0,0,1,1,3,1,2,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,1,0,0,0,1,0,0,0,0,5,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
59,0,2,0,3,2,0,0,1,0,0,1,1,10,0,0,5,0,1,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,1,6,1,42,46,61,4,12,10,12,15,19,21,9,9,53,7,4,7,2,11,0,1,7,0,0,1,2,0,1,0,0,2
60,0,1,0,1,0,0,0,3,0,0,0,1,4,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0,1,1,0,1,0,2,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,5,1,0,0,0,2,0
61,6,0,4,25,5,13,0,2,7,2,7,7,54,1,10,4,2,0,1,0,1,6,1,6,9,0,15,0,0,0,2,31,20,71,11,36,28,33,2,43,2,2,0,0,1,0,3,5,0,0,1,0,4,0,1,3,3,1,7,5,50,42,60,89,59,123,119,96,71,118,51,77,95,87,104,112,23,80,95,88,31,72,5,8,7,0,14,33,10,6
62,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,2,0,3,7,4,3,0,0,0,0,1,2,1,0,2,0,0,1,0,2,1,0,0,1,0,5,6,4,3,2,0,0,0,1,1,0,0,0,2,0,0,0,0
63,0,0,0,0,0,0,1,0,0,0,1,1,0,5,1,1,0,0,3,0,0,1,5,3,0,13,1,2,5,4,2,0,0,0,2,0,0,1,2,0,1,3,1,7,2,2,0,1,0,1,9,1,0,0,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,16,11,5,7,9,1,17,20,3,6,1,2,19,35,5,10,8,3,13,5,0,0,0,0,0,0,0,0,0,0
65,0,0,2,0,0,0,0,1,1,0,0,1,0,2,2,1,0,0,0,0,0,2,1,1,1,2,0,0,0,4,0,0,2,0,0,1,0,0,0,1,2,0,3,1,0,0,0,0,1,4,0,0,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1,1,0,2,2,0,0,0,1,0,1,3,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,3,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,1,0,0,1,1,0,0,2,1,3,1,1,4,0,1,1,2,4,0,2,2,1,1,1,6,1,1,0,6,1,0,0,0,0,3,0,0,1,0,1,4,5,5,4,6,0,0,4,5,7,6,0,1,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,1,2,2,0,0,1,1,1,1,4,1,0,2,0,0,0,1,1,0,1,0,0,0,0,3,0,2,0,1,3,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
