OTUs,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCI93A01,SCI93A10,SCI93A20,SCI93B1,SCI93B40,SCI93C01,SCI93C1,SCI93C10,SCI93C50,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
FIIB10_B2LGA,5,0,0,0,0,2,0,6,2,0,16,38,74,20,73,40,2,30,41,79,25,8,29,33,0,31,0,0,51,17,6,38,8,6,5,5,8,53,0,38,14,2,2,0,0,0,0,0,0,0,0,0,2,7,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIB1_IDQD4,16,0,0,7,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,12,10,2,43,4,9,27,15,2,11,31,21,79,74,28,6,57,1,115,68,4,23,8,3,55,0,27,10,2,0
FIA001_BWFZ0,2,0,0,5,1,3,1,3,8,0,0,0,3,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,34,3,14,4,0,16,33,0,6,0,0,3,0,1,0,0,0,13,10,6,14,13,5,15,13,8,29,23,36,46,47,68,37,13,5,9,12,23,20,34,33,3,4,10,15,39,30
FIIA001_F2MSN,0,0,0,0,0,0,0,0,0,0,9,6,20,4,21,6,0,10,15,15,12,42,91,43,4,74,7,1,81,20,4,56,9,6,13,1,20,19,0,55,63,15,0,1,2,1,0,6,0,0,0,0,5,1,7,2,5,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_B858X,0,0,0,5,0,0,31,0,0,9,0,0,0,0,0,2,2,0,1,0,0,3,5,18,6,11,18,33,10,1,177,54,4,9,2,1,3,10,7,58,8,22,18,9,41,28,6,39,10,14,8,7,9,0,7,1,7,25,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIA10_EOGWK,3,0,0,3,2,1,2,0,4,0,0,2,3,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,2,0,0,0,0,3,0,0,3,0,21,7,11,11,0,15,49,0,4,0,0,0,0,2,0,1,0,14,7,2,15,4,10,39,59,15,40,40,71,63,46,55,10,17,2,25,60,1,4,3,5,2,1,1,0,0,8
FIIIB10_AL88E,32,2,33,6,7,11,8,74,2,4,5,12,11,0,34,43,4,7,11,4,6,4,23,4,14,13,105,0,12,3,7,14,0,3,1,7,2,1,0,8,1,2,0,7,15,26,4,31,0,8,10,2,7,5,20,5,9,3,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA001_B2X9Z,3,0,1,0,2,3,1,6,1,2,6,7,8,19,15,8,9,5,4,24,10,0,1,0,1,4,14,0,1,0,6,66,9,40,46,12,20,10,8,92,42,101,0,1,3,0,2,0,1,4,10,7,13,8,13,12,15,17,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIA10_EJFCW,7,2,3,4,3,0,4,2,11,0,0,1,1,1,1,0,0,0,0,7,1,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,44,0,0,0,0,44,13,30,14,0,50,72,0,10,0,2,1,0,3,0,0,2,11,10,10,5,19,0,3,3,7,22,4,10,18,13,2,11,2,2,3,4,17,37,20,32,11,4,36,22,31,21
P72IIIA10_EIW56,0,0,3,2,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,5,5,18,0,3,0,8,9,3,28,0,0,0,0,7,0,6,9,5,19,34,211,80,17,91,10,41,36
FIIA001_FZ87E,0,0,0,0,0,0,0,0,0,0,13,4,19,2,14,5,0,6,4,16,12,5,15,28,0,12,0,0,13,10,0,55,10,16,40,2,8,60,1,109,55,24,0,1,6,1,3,2,0,7,6,1,6,4,47,4,22,10,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI93A20_JUASK,76,2,0,2,22,24,14,75,6,1,3,12,11,0,14,13,1,5,3,1,28,12,9,12,0,6,1,0,4,3,2,0,0,0,0,21,0,0,3,0,0,0,0,7,28,46,6,24,2,43,8,3,7,2,28,15,14,1,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIA1_EMS5C,0,0,0,0,0,0,0,0,0,0,2,0,6,2,4,2,0,0,3,0,12,36,57,56,1,72,0,0,168,14,17,36,8,29,35,7,9,13,6,26,30,27,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI93C1_EQO7R,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,71,145,75,20,25,222,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIB10_EGJES,0,0,0,0,0,2,0,0,1,0,5,9,29,1,10,8,2,8,7,16,6,6,16,14,2,15,5,0,37,3,7,44,9,32,18,1,14,96,5,51,47,16,17,0,2,1,1,0,3,4,0,1,10,5,16,0,22,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FIC01_B85FW,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,12,0,1,2,2,0,22,74,70,34,24,12,264,64,13,24,0,4,0,1,0,1,1,0,0,1,0,1,0,0,2,1,4,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIA1_DIIGG,0,0,0,4,0,0,0,0,0,1,0,1,33,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,0,5,56,0,3,6,81,152,111,98,14,17,0,25,8,0,6,0,0,13,0,1,1,0,0
SCI93B1_ER7WS,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,74,19,313,0,81,117,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C10_H1LOS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,151,0,35,0,0,80,1,1,0,0,6,0,0,0,331,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_CK9N3,0,0,5,4,0,0,0,0,0,1,3,3,0,1,32,11,0,1,2,25,242,0,3,94,0,1,7,0,20,3,34,0,0,0,0,0,0,0,0,0,0,0,3,30,1,57,12,2,2,0,0,1,15,7,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIB10_EGBZ2,14,1,0,7,3,1,13,1,31,2,0,4,10,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,11,3,5,1,0,14,6,0,0,0,0,0,0,0,0,0,2,14,4,7,6,25,4,16,10,13,11,14,12,50,29,52,38,13,1,5,10,21,17,14,31,3,4,11,16,13,9
FIIA001_GA12N,0,0,0,0,0,0,0,0,0,0,2,2,8,1,11,4,3,3,12,7,3,10,33,92,0,25,0,0,52,10,0,75,8,17,34,7,6,67,9,59,28,10,9,1,1,0,0,1,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C1_I6N5P,3,0,0,1,0,2,1,7,1,0,4,8,0,3,6,11,0,2,7,3,22,2,15,9,14,6,23,0,11,4,34,3,0,3,10,0,9,2,2,16,1,21,2,3,8,14,0,68,1,4,2,10,23,2,97,12,21,19,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_CKM7K,0,126,401,26,2,1,0,2,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_BZ7EG,0,0,0,8,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,2,2,11,33,0,6,18,4,1,18,31,77,57,82,13,7,0,10,150,0,5,0,1,2,1,0,1,0,0
FIIA001_FQPA9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,2,0,1,11,18,27,145,0,20,2,0,52,18,27,11,2,10,99,0,3,6,0,26,23,9,0,0,6,0,0,0,0,0,0,0,6,1,0,7,21,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_BYY9O,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24,14,27,24,21,30,2,35,9,146,55,3,8,5,0,8,17,0,97,30,7,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_B8PT6,0,14,4,10,31,3,0,62,0,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,18,1,16,16,63,0,0,17,1,0,55,27,8,4,28,0,21,0,8,12,0,0,0,40,0,71,0,0,0,7
FIC1_GAUX5,8,0,0,4,0,6,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,1,2,0,0,0,0,2,37,85,5,42,1,17,0,6,36,14,86,16,85,0,57,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C01_EPIN5,3,1,0,1,8,5,0,5,3,0,8,31,29,12,31,46,31,21,21,92,10,10,15,26,2,16,14,0,32,7,22,1,4,0,0,20,5,8,0,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA01_EJW7K,2,0,0,2,0,4,0,0,0,0,1,8,1,0,7,20,0,1,4,8,8,47,91,63,0,77,7,0,129,20,2,10,0,3,7,0,6,4,0,4,7,2,0,0,0,0,0,0,0,0,0,0,1,10,0,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIC01_BE165,94,0,0,2,20,30,13,118,8,0,4,0,0,0,2,1,0,3,1,0,1,4,7,3,0,4,0,2,6,0,3,1,0,0,1,8,0,0,6,0,0,0,0,8,24,26,7,33,7,31,6,2,3,2,23,10,7,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA10_A3W08,149,4,143,0,71,17,35,128,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC100_ANKV5,18,0,1,2,1,1,5,18,0,0,13,5,5,0,11,30,7,1,3,1,7,0,5,4,7,1,104,0,7,2,8,2,1,1,0,17,0,0,0,5,2,1,0,9,15,25,10,36,1,13,16,18,4,10,34,5,12,2,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_B8JGH,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2,55,7,0,36,28,19,9,23,5,34,77,55,109,22,0,8,18,0,0,0,0,0,0,0,0,0,0
FIA001_CE4HJ,2,0,0,0,0,1,0,5,0,2,3,16,12,11,27,29,2,8,5,19,13,0,1,7,0,3,62,0,11,5,6,27,5,15,14,28,7,6,15,56,14,34,1,3,0,0,0,0,4,3,3,2,17,0,9,7,5,9,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
