,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
FIIA01_CJMR3,3,2,0,0,4,11,11,0,3,1,5,1,7,0,11,2,0,2,13,11,6,1,0,1,1,3,0,0,2,0,0,0,3,1,1,0,0,1,0,0,5,4,9,5,11,8,13,1,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIA1_DDRAG,4,3,0,2,1,3,3,4,2,1,3,9,0,1,0,8,0,28,1,13,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,0,0,1,0,0,0,1,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,6,2,7,0,2,0,8,5,3,0
P72IIC100_FY9FO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,1,0,0,1,3,9,20,0,5,31,0,2,0,0,0,0,0,2,0,0
SCIB100_G8L3K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIB10_AS163,3,6,6,8,1,10,10,1,1,5,1,10,1,0,9,9,8,3,3,16,2,1,3,0,0,2,8,0,1,1,0,0,0,0,1,0,1,0,1,3,3,3,0,1,1,1,0,1,0,2,0,1,0,2,0,4,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,2,2,5,7,5,2,5,4,4,1
P72IIIC01_EC205,0,1,3,7,2,1,1,3,0,1,4,3,0,0,0,0,0,1,0,11,0,2,0,0,6,0,5,0,0,0,0,5,1,2,5,4,5,1,1,1,1,1,0,0,2,0,1,3,0,0,0,0,5,5,1,1,1,2,4,3,13,15,11,7,5,4,6,20,9,3,5,8,8,7,11,3,19,2,3,14,28,4,1,1,10,12,18,8,6,20
P72IIB100_GKFYI,4,0,0,0,0,0,0,0,0,0,1,2,10,1,0,0,0,0,0,0,0,0,2,4,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,3,0,1,1,0,5,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,10,2,0,0,0,29,65,20,64,4,0,12,5,0,0,0,0,0,0,0,0,0,0
FIB10_EG0D4,1,0,0,0,0,5,5,0,0,0,4,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC100_A2CPY,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,1,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B10_FUAWH,2,2,4,0,0,2,2,0,0,0,3,0,2,0,4,1,0,0,0,1,0,3,5,1,4,4,2,0,1,0,0,2,1,1,2,6,0,0,2,0,9,2,5,4,2,2,6,0,2,4,1,6,4,6,1,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
