,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
SC93C50_F0UGU,1,1,0,0,1,0,3,2,1,0,5,0,0,3,0,2,5,1,5,4,1,7,6,0,0,7,2,4,1,20,2,0,1,0,0,5,0,0,3,2,1,8,5,1,4,9,2,0,2,5,8,1,5,3,0,4,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
FIIA01_BXI9L,63,196,208,76,230,57,58,53,76,29,14,13,28,3,5,27,52,19,2,20,3,9,3,1,17,2,9,0,4,0,18,11,2,13,4,14,8,1,2,15,3,12,1,1,12,0,1,4,3,3,1,6,16,11,1,11,11,3,4,3,42,39,38,30,33,25,23,14,17,32,19,14,13,17,3,9,50,14,54,16,53,103,101,29,82,13,68,34,112,9
P72IA100_GHXCM,47,16,9,88,24,27,29,25,88,15,42,34,162,41,22,14,16,6,70,7,9,16,20,21,40,8,45,0,1,4,8,96,76,140,34,41,109,126,5,71,15,15,12,4,1,4,3,42,6,7,3,0,16,28,8,11,34,8,14,22,134,135,156,218,197,248,308,230,210,371,150,265,365,289,368,476,93,141,247,226,209,365,147,92,69,20,73,220,104,91
SC93C50_FQX6B,129,83,27,41,41,50,62,129,86,51,47,14,1,92,15,24,73,13,35,23,183,1,6,48,22,23,1,0,5,107,16,118,111,137,114,104,54,147,46,266,4,0,2,0,2,0,1,95,0,1,2,8,111,65,30,94,219,27,77,54,1,1,0,0,0,1,0,2,1,5,0,5,1,3,0,6,3,4,0,1,1,0,0,0,0,0,0,0,0,0
FIA10_BCUJF,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SC98B100_FWV3A,133,46,389,14,94,305,82,106,58,85,41,26,6,3,27,3,5,11,18,13,15,23,33,26,20,9,39,0,39,19,9,0,3,2,5,0,1,3,7,14,1,3,2,56,289,1,9,427,0,0,2,6,79,44,36,35,44,44,180,0,11,43,8,45,9,15,63,4,55,62,41,34,9,10,14,8,50,6,14,14,10,14,3,1,3,3,10,2,12,0
P72IIIC10_FQC1I,0,2,0,7,0,1,2,2,6,1,1,7,0,0,1,2,1,34,0,9,1,0,0,2,1,0,1,0,0,0,1,5,0,4,8,3,5,13,0,2,3,6,1,4,3,3,0,6,0,2,1,2,9,3,6,12,1,11,5,3,4,1,0,0,11,6,1,1,1,0,10,11,0,0,1,1,7,3,1,6,5,1,1,8,20,41,10,2,45,61
P72IB1_H2KSS,0,2,0,6,4,0,0,1,0,0,1,3,22,0,2,18,0,1,0,0,0,0,0,3,10,0,6,0,0,3,1,0,0,1,10,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,20,1,1,0,8,8,3,46,48,64,5,12,11,14,15,24,23,10,11,55,7,9,7,2,15,0,2,16,0,28,9,7,0,1,5,0,49
SC98C1_I8RZF,0,0,1,1,0,0,0,0,0,0,0,4,11,0,0,0,0,23,1,0,2,6,4,5,3,6,1,0,0,3,0,0,4,1,0,1,0,1,0,0,3,4,4,0,0,5,2,3,3,4,11,10,6,1,7,1,3,1,2,3,7,8,4,9,3,9,13,7,4,3,1,1,18,18,8,7,14,3,19,5,2,8,0,1,2,2,1,5,0,0
P72IA01_CYHB,0,0,0,1,1,0,0,0,0,0,0,1,19,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,20,22,6,13,18,3,28,26,6,6,2,4,27,48,6,14,9,3,14,7,0,0,0,0,0,0,0,0,0,0
